ts,code,description,lat,long,cost
1/22/11 22:50,3AF,Robbery - Street,39.32352,-76.5654,59000
1/22/11 22:58,4A,Agg. Assault,39.32485,-76.57233,59000
1/22/11 22:58,4A,Agg. Assault,39.32485,-76.57233,59000
1/22/11 22:58,4A,Agg. Assault,39.32485,-76.57233,59000
1/22/11 22:58,4A,Agg. Assault,39.32485,-76.57233,59000
1/22/11 22:58,4A,Agg. Assault,39.32485,-76.57233,59000
1/22/11 22:58,4A,Agg. Assault,39.32485,-76.57233,59000
1/22/11 22:58,4A,Agg. Assault,39.32485,-76.57233,59000
1/23/11 1:29,3AF,Robbery - Street,39.31448,-76.57316,59000
1/23/11 5:00,3JF,Robbery - Residence,39.3267,-76.56025,59000
1/23/11 6:30,4A,Agg. Assault,39.30813,-76.59277,59000
1/23/11 14:00,3NF,Robbery - Street,39.33214,-76.66423,59000
1/23/11 19:45,3AF,Robbery - Street,39.29479,-76.60541,59000
1/23/11 19:52,4A,Agg. Assault,39.28662,-76.63687,59000
1/23/11 19:52,4A,Agg. Assault,39.28662,-76.63687,59000
1/23/11 19:55,9S,Shooting,39.28662,-76.63687,59000
1/23/11 19:55,9S,Shooting,39.28662,-76.63687,59000
1/23/11 20:53,3CF,Robbery - Commercial,39.277,-76.61237,59000
1/23/11 21:27,3JF,Robbery - Residence,39.31635,-76.56911,59000
1/23/11 21:27,3JF,Robbery - Residence,39.31635,-76.56911,59000
1/23/11 21:27,3JF,Robbery - Residence,39.31635,-76.56911,59000
1/23/11 22:41,1F,Homicide,39.29822,-76.59902,441300
1/24/11 1:10,3CF,Robbery - Commercial,39.24273,-76.62323,59000
1/24/11 5:20,3JF,Robbery - Residence,39.28204,-76.64692,59000
1/24/11 9:23,3AF,Robbery - Street,39.28706,-76.55422,59000
1/24/11 15:25,1F,Homicide,39.28211,-76.64384,441300
1/24/11 17:40,3AF,Robbery - Street,39.28624,-76.58855,59000
1/24/11 17:45,3AF,Robbery - Street,39.29108,-76.58622,59000
1/24/11 19:25,3AF,Robbery - Street,39.30435,-76.63157,59000
1/24/11 20:04,4A,Agg. Assault,39.3366,-76.69191,59000
1/24/11 22:15,3JF,Robbery - Residence,39.34513,-76.54164,59000
1/24/11 22:15,3JF,Robbery - Residence,39.34513,-76.54164,59000
1/25/11 0:10,3JF,Robbery - Residence,39.2923,-76.65034,59000
1/25/11 2:00,4A,Agg. Assault,39.30196,-76.62861,59000
1/25/11 5:26,4A,Agg. Assault,39.26788,-76.65265,59000
1/25/11 13:46,3CF,Robbery - Commercial,39.30798,-76.62534,59000
1/25/11 14:22,3CF,Robbery - Commercial,39.36808,-76.56655,59000
1/25/11 20:13,4A,Agg. Assault,39.3123,-76.63242,59000
1/25/11 20:13,9S,Shooting,39.3123,-76.63242,59000
1/25/11 21:06,3AJF,Robbery - Carjacking,39.3701,-76.68186,59000
1/25/11 22:30,3JF,Robbery - Residence,39.32727,-76.54901,59000
1/25/11 22:30,3JF,Robbery - Residence,39.32727,-76.54901,59000
1/26/11 2:15,3JF,Robbery - Residence,39.23013,-76.60379,59000
1/26/11 15:55,3CF,Robbery - Commercial,39.25116,-76.64701,59000
1/26/11 20:27,3AF,Robbery - Street,39.32146,-76.61186,59000
1/26/11 20:27,3AF,Robbery - Street,39.32146,-76.61186,59000
1/26/11 20:45,3AF,Robbery - Street,39.32552,-76.67964,59000
1/26/11 21:52,4A,Agg. Assault,39.31084,-76.70734,59000
1/27/11 0:00,4A,Agg. Assault,39.30528,-76.66616,59000
1/27/11 0:00,9S,Shooting,39.30528,-76.66616,59000
1/27/11 21:30,3CF,Robbery - Commercial,39.29313,-76.61541,59000
1/27/11 21:40,3CF,Robbery - Commercial,39.28755,-76.6195,59000
1/27/11 21:40,4A,Agg. Assault,39.30012,-76.64596,59000
1/27/11 21:40,9S,Shooting,39.30536,-76.64481,59000
1/27/11 21:55,3AF,Robbery - Street,39.31654,-76.57196,59000
1/27/11 21:55,3AF,Robbery - Street,39.31654,-76.57196,59000
1/27/11 22:29,9S,Shooting,39.30782,-76.63115,59000
1/27/11 22:55,3AF,Robbery - Street,39.30874,-76.59824,59000
1/28/11 0:50,3AF,Robbery - Street,39.31031,-76.66435,59000
1/28/11 2:00,3AF,Robbery - Street,39.31682,-76.68708,59000
1/28/11 2:51,4A,Agg. Assault,39.29394,-76.67956,59000
1/28/11 11:00,3JF,Robbery - Residence,39.3096,-76.62919,59000
1/28/11 13:30,3CF,Robbery - Commercial,39.31716,-76.61538,59000
1/28/11 17:20,4A,Agg. Assault,39.30461,-76.62511,59000
1/28/11 17:30,9S,Shooting,39.30461,-76.62511,59000
1/28/11 18:39,1F,Homicide,39.28594,-76.63081,441300
1/28/11 20:15,3AF,Robbery - Street,39.36505,-76.58589,59000
1/28/11 20:44,4A,Agg. Assault,39.35392,-76.5861,59000
1/28/11 20:44,9S,Shooting,39.35392,-76.5861,59000
1/28/11 22:20,3CF,Robbery - Commercial,39.29863,-76.68212,59000
1/28/11 22:30,3AF,Robbery - Street,39.23836,-76.60133,59000
1/28/11 22:50,3JF,Robbery - Residence,39.32179,-76.53725,59000
1/28/11 22:50,3JF,Robbery - Residence,39.32179,-76.53725,59000
1/29/11 1:45,3AF,Robbery - Street,39.31037,-76.63589,59000
1/29/11 12:00,4A,Agg. Assault,39.30049,-76.58237,59000
1/29/11 14:41,3AF,Robbery - Street,39.28899,-76.59033,59000
1/29/11 15:18,4A,Agg. Assault,39.30723,-76.70711,59000
1/29/11 15:30,4A,Agg. Assault,39.32544,-76.70311,59000
1/29/11 15:30,4A,Agg. Assault,39.32544,-76.70311,59000
1/29/11 20:44,9S,Shooting,39.3025,-76.63331,59000
1/29/11 20:50,4A,Agg. Assault,39.3025,-76.63331,59000
1/29/11 23:10,3AF,Robbery - Street,39.32051,-76.5915,59000
1/29/11 23:35,3CF,Robbery - Commercial,39.27507,-76.66768,59000
1/30/11 2:20,4A,Agg. Assault,39.28469,-76.68482,59000
1/30/11 2:20,9S,Shooting,39.28469,-76.68482,59000
1/30/11 14:40,1F,Homicide,39.31843,-76.5487,441300
1/30/11 18:00,3JF,Robbery - Residence,39.29583,-76.63085,59000
1/31/11 2:29,4A,Agg. Assault,39.37055,-76.56711,59000
1/31/11 2:29,3JF,Robbery - Residence,39.37055,-76.56711,59000
1/31/11 2:29,4A,Agg. Assault,39.37055,-76.56711,59000
2/1/11 3:00,3AF,Robbery - Street,39.32221,-76.54728,59000
2/1/11 12:30,3AF,Robbery - Street,39.36226,-76.59226,59000
2/1/11 16:00,3AF,Robbery - Street,39.30233,-76.58255,59000
2/1/11 20:30,3AF,Robbery - Street,39.35627,-76.7027,59000
2/1/11 21:40,3AF,Robbery - Street,39.28869,-76.61504,59000
2/2/11 12:05,4A,Agg. Assault,39.35375,-76.60778,59000
2/2/11 12:09,9S,Shooting,39.35375,-76.60778,59000
2/2/11 12:30,3AF,Robbery - Street,39.30005,-76.68062,59000
2/2/11 20:11,1F,Homicide,39.29783,-76.6862,441300
2/2/11 23:08,3AF,Robbery - Street,39.3206,-76.5937,59000
2/2/11 23:08,3AF,Robbery - Street,39.3206,-76.5937,59000
2/3/11 17:00,3AF,Robbery - Street,39.277,-76.68666,59000
2/3/11 18:35,3AJF,Robbery - Carjacking,39.35883,-76.70429,59000
2/3/11 19:50,3AF,Robbery - Street,39.34035,-76.54847,59000
2/3/11 23:21,3AF,Robbery - Street,39.29959,-76.6298,59000
2/4/11 8:08,3CF,Robbery - Commercial,39.35039,-76.53558,59000
2/4/11 12:58,4A,Agg. Assault,39.23701,-76.61197,59000
2/4/11 12:58,4A,Agg. Assault,39.23701,-76.61197,59000
2/4/11 20:45,3AF,Robbery - Street,39.29738,-76.58153,59000
2/4/11 22:04,3CF,Robbery - Commercial,39.34901,-76.69256,59000
2/4/11 23:30,4A,Agg. Assault,39.29743,-76.59438,59000
2/5/11 0:01,4A,Agg. Assault,39.22884,-76.59759,59000
2/5/11 16:15,3CF,Robbery - Commercial,39.28078,-76.67145,59000
2/5/11 17:00,3GF,Robbery - Commercial,39.27591,-76.64136,59000
2/6/11 3:04,4A,Agg. Assault,39.3039,-76.60656,59000
2/6/11 19:20,3AF,Robbery - Street,39.35018,-76.5692,59000
2/6/11 23:30,3AF,Robbery - Street,39.28217,-76.63541,59000
2/7/11 15:13,1F,Homicide,39.32083,-76.59396,441300
2/7/11 16:50,3AJF,Robbery - Carjacking,39.31496,-76.66049,59000
2/7/11 18:02,4A,Agg. Assault,39.30428,-76.60748,59000
2/7/11 19:30,3AF,Robbery - Street,39.32981,-76.608,59000
2/7/11 23:05,3AF,Robbery - Street,39.36226,-76.59653,59000
2/8/11 10:05,3AF,Robbery - Street,39.24571,-76.62865,59000
2/8/11 18:31,1F,Homicide,39.3591,-76.54363,441300
2/8/11 18:31,4A,Agg. Assault,39.36053,-76.54391,59000
2/8/11 21:10,3CF,Robbery - Commercial,39.30821,-76.62373,59000
2/9/11 0:10,3AF,Robbery - Street,39.28668,-76.6931,59000
2/9/11 12:30,3CF,Robbery - Commercial,39.28719,-76.56715,59000
2/9/11 12:30,4A,Agg. Assault,39.30711,-76.58714,59000
